booking_id,trip_id,rider_id,boarding_stop_id,booked_at,promised_eta
BKG_0001,TRIP_001,R-1294,S-0904,2026-06-13 16:54:00+05:30,2026-06-15 07:20:56+05:30
BKG_0002,TRIP_001,R-1017,S-0903,2026-06-14 03:54:00+05:30,2026-06-15 07:12:55+05:30
BKG_0003,TRIP_001,R-1075,S-0907,2026-06-14 06:54:00+05:30,2026-06-15 07:49:00+05:30
BKG_0004,TRIP_001,R-1021,S-0904,2026-06-13 23:54:00+05:30,2026-06-15 07:20:56+05:30
BKG_0005,TRIP_001,R-1186,S-0901,2026-06-13 01:54:00+05:30,2026-06-15 06:54:00+05:30
BKG_0006,TRIP_001,R-1058,S-0907,2026-06-14 18:54:00+05:30,2026-06-15 07:49:00+05:30
BKG_0007,TRIP_001,R-1103,S-0904,2026-06-13 10:54:00+05:30,2026-06-15 07:20:56+05:30
BKG_0008,TRIP_001,R-1231,S-0906,2026-06-14 21:54:00+05:30,2026-06-15 07:38:50+05:30
BKG_0009,TRIP_001,R-1064,S-0902,2026-06-13 16:54:00+05:30,2026-06-15 07:01:36+05:30
BKG_0010,TRIP_002,R-1239,S-1104,2026-06-14 09:40:00+05:30,2026-06-15 07:06:46+05:30
BKG_0011,TRIP_002,R-1193,S-1109,2026-06-12 21:40:00+05:30,2026-06-15 07:50:00+05:30
BKG_0012,TRIP_002,R-1145,S-1104,2026-06-13 19:40:00+05:30,2026-06-15 07:06:46+05:30
BKG_0013,TRIP_002,R-1239,S-1107,2026-06-13 16:40:00+05:30,2026-06-15 07:33:20+05:30
BKG_0014,TRIP_002,R-1026,S-1105,2026-06-14 13:40:00+05:30,2026-06-15 07:14:32+05:30
BKG_0015,TRIP_002,R-1242,S-1101,2026-06-13 13:40:00+05:30,2026-06-15 06:40:00+05:30
BKG_0016,TRIP_002,R-1131,S-1106,2026-06-13 13:40:00+05:30,2026-06-15 07:24:05+05:30
BKG_0017,TRIP_003,R-1096,S-1204,2026-06-13 23:08:00+05:30,2026-06-15 07:32:58+05:30
BKG_0018,TRIP_003,R-1273,S-1208,2026-06-13 04:08:00+05:30,2026-06-15 08:08:00+05:30
BKG_0019,TRIP_003,R-1016,S-1206,2026-06-14 00:08:00+05:30,2026-06-15 07:49:19+05:30
BKG_0020,TRIP_003,R-1295,S-1202,2026-06-13 00:08:00+05:30,2026-06-15 07:15:11+05:30
BKG_0021,TRIP_003,R-1035,S-1205,2026-06-13 20:08:00+05:30,2026-06-15 07:43:07+05:30
BKG_0022,TRIP_003,R-1019,S-1204,2026-06-13 07:08:00+05:30,2026-06-15 07:32:58+05:30
BKG_0023,TRIP_003,R-1267,S-1205,2026-06-13 08:08:00+05:30,2026-06-15 07:43:07+05:30
BKG_0024,TRIP_003,R-1108,S-1205,2026-06-14 07:08:00+05:30,2026-06-15 07:43:07+05:30
BKG_0025,TRIP_003,R-1099,S-1204,2026-06-14 19:08:00+05:30,2026-06-15 07:32:58+05:30
BKG_0026,TRIP_004,R-1195,S-1405,2026-06-14 21:35:00+05:30,2026-06-15 07:09:26+05:30
BKG_0027,TRIP_004,R-1115,S-1408,2026-06-14 21:35:00+05:30,2026-06-15 07:33:26+05:30
BKG_0028,TRIP_004,R-1181,S-1409,2026-06-12 20:35:00+05:30,2026-06-15 07:42:49+05:30
BKG_0029,TRIP_004,R-1207,S-1402,2026-06-13 01:35:00+05:30,2026-06-15 06:43:05+05:30
BKG_0030,TRIP_004,R-1222,S-1407,2026-06-13 14:35:00+05:30,2026-06-15 07:25:57+05:30
BKG_0031,TRIP_004,R-1258,S-1408,2026-06-12 18:35:00+05:30,2026-06-15 07:33:26+05:30
BKG_0032,TRIP_004,R-1179,S-1402,2026-06-13 21:35:00+05:30,2026-06-15 06:43:05+05:30
BKG_0033,TRIP_004,R-1182,S-1401,2026-06-13 13:35:00+05:30,2026-06-15 06:35:00+05:30
BKG_0034,TRIP_004,R-1055,S-1401,2026-06-13 02:35:00+05:30,2026-06-15 06:35:00+05:30
BKG_0035,TRIP_004,R-1078,S-1409,2026-06-12 21:35:00+05:30,2026-06-15 07:42:49+05:30
BKG_0036,TRIP_004,R-1259,S-1401,2026-06-14 19:35:00+05:30,2026-06-15 06:35:00+05:30
BKG_0037,TRIP_004,R-1230,S-1410,2026-06-14 07:35:00+05:30,2026-06-15 07:50:00+05:30
BKG_0038,TRIP_005,R-1075,S-1701,2026-06-12 18:55:00+05:30,2026-06-15 06:55:00+05:30
BKG_0039,TRIP_005,R-1246,S-1705,2026-06-13 17:55:00+05:30,2026-06-15 07:31:16+05:30
BKG_0040,TRIP_005,R-1026,S-1703,2026-06-12 20:55:00+05:30,2026-06-15 07:13:42+05:30
BKG_0041,TRIP_005,R-1152,S-1704,2026-06-13 02:55:00+05:30,2026-06-15 07:22:12+05:30
BKG_0042,TRIP_005,R-1197,S-1702,2026-06-14 03:55:00+05:30,2026-06-15 07:02:55+05:30
BKG_0043,TRIP_005,R-1206,S-1708,2026-06-13 06:55:00+05:30,2026-06-15 08:00:00+05:30
BKG_0044,TRIP_005,R-1279,S-1705,2026-06-14 05:55:00+05:30,2026-06-15 07:31:16+05:30
BKG_0045,TRIP_005,R-1046,S-1701,2026-06-13 00:55:00+05:30,2026-06-15 06:55:00+05:30
BKG_0046,TRIP_005,R-1072,S-1708,2026-06-14 03:55:00+05:30,2026-06-15 08:00:00+05:30
