ping_id,vehicle_id,operator_id,lat,lon,speed_kmph,recorded_at,received_at
P-0000001,V-11,5,19.21834,72.977987,1.9,2026-06-15 06:54:00+05:30,2026-06-15 06:54:04+05:30
P-0000002,V-11,5,19.217698,72.977558,14.7,2026-06-15 06:54:23+05:30,2026-06-15 06:54:24+05:30
P-0000003,V-11,5,19.216867,72.977275,17.7,2026-06-15 06:54:46+05:30,2026-06-15 06:54:50+05:30
P-0000004,V-11,5,19.216179,72.976733,17.2,2026-06-15 06:55:09+05:30,2026-06-15 06:55:12+05:30
P-0000005,V-11,5,19.215612,72.976577,11.9,2026-06-15 06:55:26+05:30,2026-06-15 06:55:28+05:30
P-0000006,V-11,5,19.215089,72.976079,13.6,2026-06-15 06:55:47+05:30,2026-06-15 06:55:51+05:30
P-0000007,V-11,5,19.214408,72.975784,14.5,2026-06-15 06:56:06+05:30,2026-06-15 06:56:07+05:30
P-0000008,V-11,5,19.213806,72.975323,15.6,2026-06-15 06:56:27+05:30,2026-06-15 06:56:28+05:30
P-0000009,V-11,5,19.213175,72.9751,12.3,2026-06-15 06:56:48+05:30,2026-06-15 06:56:52+05:30
P-0000010,V-11,5,19.212505,72.974618,15.6,2026-06-15 06:57:07+05:30,2026-06-15 06:57:08+05:30
P-0000011,V-11,5,19.211943,72.974254,13.8,2026-06-15 06:57:25+05:30,2026-06-15 06:57:28+05:30
P-0000012,V-11,5,19.211274,72.973823,16.1,2026-06-15 06:57:48+05:30,2026-06-15 06:57:51+05:30
P-0000013,V-11,5,19.210543,72.973589,16.2,2026-06-15 06:58:07+05:30,2026-06-15 06:58:11+05:30
P-0000014,V-11,5,19.210056,72.973292,10.1,2026-06-15 06:58:24+05:30,2026-06-15 06:58:26+05:30
P-0000015,V-11,5,19.209593,72.972888,10.2,2026-06-15 06:58:42+05:30,2026-06-15 06:58:45+05:30
P-0000016,V-11,5,19.208793,72.972498,18.8,2026-06-15 06:59:05+05:30,2026-06-15 06:59:09+05:30
P-0000017,V-11,5,19.208071,72.972107,16.0,2026-06-15 06:59:28+05:30,2026-06-15 06:59:30+05:30
P-0000018,V-11,5,19.207387,72.971576,15.3,2026-06-15 06:59:49+05:30,2026-06-15 06:59:53+05:30
P-0000019,V-11,5,19.206812,72.971377,10.3,2026-06-15 07:00:10+05:30,2026-06-15 07:00:11+05:30
P-0000020,V-11,5,19.206282,72.970846,15.5,2026-06-15 07:00:31+05:30,2026-06-15 07:00:35+05:30
P-0000021,V-11,5,19.205709,72.970512,14.8,2026-06-15 07:00:50+05:30,2026-06-15 07:00:53+05:30
P-0000022,V-11,5,19.20503,72.970257,16.3,2026-06-15 07:01:08+05:30,2026-06-15 07:01:12+05:30
P-0000023,V-11,5,19.204371,72.969691,18.7,2026-06-15 07:01:30+05:30,2026-06-15 07:01:31+05:30
P-0000024,V-11,5,19.203754,72.969467,14.5,2026-06-15 07:01:51+05:30,2026-06-15 07:01:54+05:30
P-0000025,V-11,5,19.20328,72.969018,13.9,2026-06-15 07:02:09+05:30,2026-06-15 07:02:12+05:30
P-0000026,V-11,5,19.202771,72.968581,15.0,2026-06-15 07:02:26+05:30,2026-06-15 07:02:30+05:30
P-0000027,V-11,5,19.202021,72.968093,19.5,2026-06-15 07:02:48+05:30,2026-06-15 07:02:50+05:30
P-0000028,V-11,5,19.201531,72.967592,12.9,2026-06-15 07:03:10+05:30,2026-06-15 07:03:12+05:30
P-0000029,V-11,5,19.200903,72.96735,12.3,2026-06-15 07:03:27+05:30,2026-06-15 07:03:30+05:30
P-0000030,V-11,5,19.200412,72.966923,12.5,2026-06-15 07:03:47+05:30,2026-06-15 07:03:48+05:30
P-0000031,V-11,5,19.199684,72.966404,17.2,2026-06-15 07:04:10+05:30,2026-06-15 07:04:12+05:30
P-0000032,V-11,5,19.199085,72.96586,14.2,2026-06-15 07:04:28+05:30,2026-06-15 07:04:29+05:30
P-0000033,V-11,5,19.198563,72.965491,10.8,2026-06-15 07:04:46+05:30,2026-06-15 07:04:50+05:30
P-0000034,V-11,5,19.198077,72.96504,11.2,2026-06-15 07:05:08+05:30,2026-06-15 07:05:09+05:30
P-0000035,V-11,5,19.197509,72.964696,14.7,2026-06-15 07:05:28+05:30,2026-06-15 07:05:30+05:30
P-0000036,V-11,5,19.196987,72.964286,13.9,2026-06-15 07:05:47+05:30,2026-06-15 07:05:51+05:30
P-0000037,V-11,5,19.196427,72.963755,14.7,2026-06-15 07:06:04+05:30,2026-06-15 07:06:05+05:30
P-0000038,V-11,5,19.19587,72.96326,16.1,2026-06-15 07:06:24+05:30,2026-06-15 07:06:25+05:30
P-0000039,V-11,5,19.195307,72.962928,12.8,2026-06-15 07:06:41+05:30,2026-06-15 07:06:44+05:30
P-0000040,V-11,5,19.19485,72.96254,13.2,2026-06-15 07:06:59+05:30,2026-06-15 07:07:01+05:30
