stop_id,stop_name,lat,lon,route_id,seq
S-0901,Ghodbunder Rd,19.2183,72.9781,9,1
S-0902,Manpada,19.203704,72.969384,9,2
S-0903,Kapurbawdi,19.183567,72.953904,9,3
S-0904,Majiwada,19.168624,72.943983,9,4
S-0905,Saki Naka,19.152987,72.926731,9,5
S-0906,JVLR,19.138145,72.918391,9,6
S-0907,Hiranandani,19.1197,72.905,9,7
S-1101,Borivali Stn,19.229,72.8567,11,1
S-1102,Magathane,19.208187,72.859094,11,2
S-1103,Borivali E,19.185711,72.860936,11,3
S-1104,Dindoshi,19.166647,72.862052,11,4
S-1105,Goregaon E,19.148514,72.861058,11,5
S-1106,Aarey,19.126609,72.865659,11,6
S-1107,JVLR Jn,19.105054,72.867211,11,7
S-1108,Kurla,19.083244,72.867014,11,8
S-1109,BKC G-Block,19.0662,72.869,11,9
S-1201,Mulund Check Naka,19.1726,72.9568,12,1
S-1202,Nahur,19.167518,72.944951,12,2
S-1203,Bhandup,19.156053,72.930044,12,3
S-1204,Vikhroli,19.145849,72.922806,12,4
S-1205,Kanjurmarg,19.136625,72.907239,12,5
S-1206,Powai Jn,19.130712,72.89791,12,6
S-1207,Marol,19.119283,72.883016,12,7
S-1208,Chakala,19.1136,72.8697,12,8
S-1401,Kandivali E,19.2042,72.8525,14,1
S-1402,Akurli,19.182274,72.853128,14,2
S-1403,Malad E,19.161086,72.846684,14,3
S-1404,Goregaon,19.136064,72.844301,14,4
S-1405,Jogeshwari,19.111775,72.845873,14,5
S-1406,Andheri W,19.093166,72.842382,14,6
S-1407,Bandra,19.06801,72.836,14,7
S-1408,Mahim,19.048018,72.832138,14,8
S-1409,Worli Dairy,19.022615,72.833334,14,9
S-1410,Kamala Mills,19.0034,72.83,14,10
S-1701,Vashi Sector 17,19.076,73.0008,17,1
S-1702,Vashi Plaza,19.07025,72.977663,17,2
S-1703,Mankhurd,19.059875,72.947,17,3
S-1704,Chembur,19.053263,72.922301,17,4
S-1705,Sion,19.044524,72.896528,17,5
S-1706,Dadar TT,19.035981,72.868939,17,6
S-1707,Prabhadevi,19.022722,72.845515,17,7
S-1708,Worli Naka,19.0176,72.8156,17,8
S-2101,Ghatkopar Metro,19.086,72.9089,21,1
S-2102,Amar Mahal,19.084756,72.899175,21,2
S-2103,Chembur Naka,19.077978,72.891157,21,3
S-2104,Kurla,19.075546,72.88614,21,4
S-2105,BKC Jn,19.070521,72.877991,21,5
S-2106,BKC,19.0662,72.869,21,6
