trip_id,route_id,vehicle_id,service_date,scheduled_start,scheduled_end,direction
TRIP_001,9,V-11,2026-06-15,2026-06-15 06:54:00+05:30,2026-06-15 07:49:00+05:30,inbound
TRIP_002,11,V-06,2026-06-15,2026-06-15 06:40:00+05:30,2026-06-15 07:50:00+05:30,inbound
TRIP_003,12,V-10,2026-06-15,2026-06-15 07:08:00+05:30,2026-06-15 08:08:00+05:30,inbound
TRIP_004,14,V-04,2026-06-15,2026-06-15 06:35:00+05:30,2026-06-15 07:50:00+05:30,inbound
TRIP_005,17,V-05,2026-06-15,2026-06-15 06:55:00+05:30,2026-06-15 08:00:00+05:30,inbound
TRIP_006,21,V-03,2026-06-15,2026-06-15 07:21:00+05:30,2026-06-15 08:01:00+05:30,inbound
TRIP_007,9,V-11,2026-06-16,2026-06-16 06:45:00+05:30,2026-06-16 07:40:00+05:30,inbound
TRIP_008,11,V-06,2026-06-16,2026-06-16 06:41:00+05:30,2026-06-16 07:51:00+05:30,inbound
TRIP_009,12,V-10,2026-06-16,2026-06-16 07:02:00+05:30,2026-06-16 08:02:00+05:30,inbound
TRIP_010,14,V-04,2026-06-16,2026-06-16 06:45:00+05:30,2026-06-16 08:00:00+05:30,inbound
TRIP_011,17,V-05,2026-06-16,2026-06-16 06:45:00+05:30,2026-06-16 07:50:00+05:30,inbound
TRIP_012,21,V-03,2026-06-16,2026-06-16 07:21:00+05:30,2026-06-16 08:01:00+05:30,inbound
TRIP_013,9,V-11,2026-06-17,2026-06-17 06:50:00+05:30,2026-06-17 07:45:00+05:30,inbound
TRIP_014,11,V-06,2026-06-17,2026-06-17 06:46:00+05:30,2026-06-17 07:56:00+05:30,inbound
TRIP_015,12,V-10,2026-06-17,2026-06-17 07:05:00+05:30,2026-06-17 08:05:00+05:30,inbound
TRIP_016,14,V-04,2026-06-17,2026-06-17 06:40:00+05:30,2026-06-17 07:55:00+05:30,inbound
TRIP_017,17,V-05,2026-06-17,2026-06-17 06:50:00+05:30,2026-06-17 07:55:00+05:30,inbound
TRIP_018,21,V-03,2026-06-17,2026-06-17 07:20:00+05:30,2026-06-17 08:00:00+05:30,inbound
TRIP_019,21,V-09,2026-06-17,2026-06-17 07:32:00+05:30,2026-06-17 08:12:00+05:30,inbound
